customer_id,total_value,successful_actions,failed_actions,support_tickets,refunds_or_cancellations,avg_frequency,feature_diversity,value_score,effort_score,net_contribution,segment
1,641.97,11,3,0,1,4.93,5,14.05,20.0,-5.95,Growth Potential
2,1987.31,14,7,2,1,5.19,5,43.36,56.0,-12.64,Drainer
3,1009.81,8,1,1,0,9.44,6,21.25,14.0,7.25,Growth Potential
4,1811.04,13,4,0,2,0.7,3,39.39,32.0,7.39,Growth Potential
5,2855.84,16,4,1,0,3.27,10,62.29,26.0,36.29,Champion
6,811.57,8,2,0,1,5.55,2,17.03,16.0,1.03,Growth Potential
7,1433.65,10,3,1,0,4.68,8,30.71,22.0,8.71,Growth Potential
8,1467.6,11,1,0,0,2.14,11,31.65,4.0,27.65,Growth Potential
9,2075.92,13,4,1,0,3.38,11,45.03,26.0,19.03,Growth Potential
10,1432.78,10,2,3,0,1.65,7,30.69,38.0,-7.31,Growth Potential
11,2150.39,11,2,2,1,2.52,9,46.19,36.0,10.19,Growth Potential
12,804.11,8,5,2,1,3.27,4,16.87,48.0,-31.13,Growth Potential
13,1609.75,13,0,3,0,5.94,11,35.1,30.0,5.1,Growth Potential
14,1917.92,13,2,1,1,2.25,8,41.67,26.0,15.67,Growth Potential
15,1593.36,10,2,0,1,2.09,10,34.11,16.0,18.11,Growth Potential
16,1345.88,14,6,0,0,0.54,2,29.69,24.0,5.69,Growth Potential
17,915.75,7,1,2,1,3.53,9,19.04,32.0,-12.96,Growth Potential
18,1451.62,9,8,2,0,9.06,6,30.88,52.0,-21.12,Drainer
19,1582.39,10,1,0,0,2.72,9,33.88,4.0,29.88,Growth Potential
20,745.08,12,2,1,0,6.09,6,16.46,18.0,-1.54,Growth Potential
21,754.39,6,3,1,0,5.72,3,15.38,22.0,-6.62,Growth Potential
22,399.16,4,3,2,2,0.33,10,7.39,48.0,-40.61,Growth Potential
23,1274.35,11,2,0,2,4.2,5,27.53,24.0,3.53,Growth Potential
24,1799.74,16,1,1,1,3.84,4,39.79,22.0,17.79,Growth Potential
25,1128.7,10,4,1,2,3.04,2,24.21,42.0,-17.79,Growth Potential
26,1257.11,8,3,4,0,1.04,4,26.52,52.0,-25.48,Drainer
27,2417.03,15,2,1,1,2.02,8,52.73,26.0,26.73,Champion
28,1760.22,14,4,0,1,8.23,1,38.52,24.0,14.52,Growth Potential
29,2302.04,15,3,1,1,4.4,10,50.28,30.0,20.28,Champion
30,1465.41,10,1,1,1,3.35,2,31.39,22.0,9.39,Growth Potential
31,2932.3,16,4,1,0,3.76,6,63.92,26.0,37.92,Champion
32,1219.43,10,5,1,0,7.02,6,26.15,30.0,-3.85,Growth Potential
33,706.65,10,3,2,0,5.03,9,15.22,32.0,-16.78,Growth Potential
34,1203.76,14,5,2,0,3.57,7,26.66,40.0,-13.34,Growth Potential
35,1500.88,17,4,1,0,9.79,1,33.63,26.0,7.63,Growth Potential
36,972.63,7,4,0,2,2.61,1,20.25,32.0,-11.75,Growth Potential
37,1856.08,15,2,0,0,2.6,7,40.78,8.0,32.78,Growth Potential
38,2169.48,15,3,0,1,3.29,9,47.45,20.0,27.45,Growth Potential
39,1687.43,12,5,0,0,6.35,4,36.54,20.0,16.54,Growth Potential
40,1613.2,10,3,1,0,3.59,10,34.54,22.0,12.54,Growth Potential
41,1424.84,17,2,1,0,2.29,4,32.01,18.0,14.01,Growth Potential
42,1205.41,11,2,0,0,2.95,8,26.06,8.0,18.06,Growth Potential
43,1368.68,9,2,2,1,1.13,4,29.11,36.0,-6.89,Growth Potential
44,1473.23,10,4,0,0,0.35,5,31.55,16.0,15.55,Growth Potential
45,2681.1,18,0,1,2,9.01,2,58.99,26.0,32.99,Champion
46,1041.02,13,1,1,0,2.95,11,22.98,14.0,8.98,Growth Potential
47,1956.97,15,4,2,0,2.99,5,42.93,36.0,6.93,Growth Potential
48,1618.91,17,4,0,2,4.57,5,36.15,32.0,4.15,Growth Potential
49,932.42,10,1,1,1,4.1,10,20.03,22.0,-1.97,Growth Potential
50,974.34,9,3,1,0,3.03,6,20.71,22.0,-1.29,Growth Potential
51,1296.39,11,4,0,0,9.43,8,28.0,16.0,12.0,Growth Potential
52,977.86,7,0,2,1,3.51,1,20.36,28.0,-7.64,Growth Potential
53,1607.05,19,3,0,0,2.77,10,36.32,12.0,24.32,Growth Potential
54,1206.55,12,3,0,0,0.77,10,26.3,12.0,14.3,Growth Potential
55,2968.52,21,2,0,1,2.39,11,65.76,16.0,49.76,Champion
56,974.03,12,1,1,1,10.76,5,21.34,22.0,-0.66,Growth Potential
57,1429.05,10,1,1,0,8.34,9,30.61,14.0,16.61,Growth Potential
58,1396.86,13,3,3,0,0.25,8,30.56,42.0,-11.44,Growth Potential
59,476.94,4,1,2,0,3.64,4,9.05,24.0,-14.95,Growth Potential
60,1986.05,18,0,2,0,7.74,1,44.18,20.0,24.18,Growth Potential
61,1099.16,8,4,1,0,9.65,3,23.16,26.0,-2.84,Growth Potential
62,1633.43,14,3,2,0,3.14,5,35.82,32.0,3.82,Growth Potential
63,1764.91,9,2,1,1,5.99,11,37.55,26.0,11.55,Growth Potential
64,1082.64,11,2,0,0,7.63,6,23.44,8.0,15.44,Growth Potential
65,1967.6,13,2,1,1,4.81,9,42.73,26.0,16.73,Growth Potential
66,1235.68,10,4,1,1,2.8,8,26.49,34.0,-7.51,Growth Potential
67,1263.37,14,4,1,0,3.1,6,27.93,26.0,1.93,Growth Potential
68,1183.5,12,2,0,1,9.49,7,25.81,16.0,9.81,Growth Potential
69,1580.86,13,1,1,0,2.74,6,34.49,14.0,20.49,Growth Potential
70,1389.94,14,4,0,0,1.16,11,30.63,16.0,14.63,Growth Potential
71,1400.05,19,5,1,1,7.2,8,31.91,38.0,-6.09,Growth Potential
72,819.93,10,3,2,1,3.4,8,17.63,40.0,-22.37,Growth Potential
73,827.79,9,1,1,1,3.79,10,17.59,22.0,-4.41,Growth Potential
74,1813.02,16,3,0,2,1.04,3,40.07,28.0,12.07,Growth Potential
75,1875.22,12,1,1,0,1.95,8,40.54,14.0,26.54,Growth Potential
76,2724.27,17,2,0,1,1.77,9,59.7,16.0,43.7,Champion
77,1137.13,10,0,4,0,3.42,11,24.39,40.0,-15.61,Growth Potential
78,1460.48,13,4,2,0,3.26,1,31.92,36.0,-4.08,Growth Potential
79,1213.48,13,1,0,1,9.01,11,26.66,12.0,14.66,Growth Potential
80,871.65,7,4,2,0,5.03,10,18.1,36.0,-17.9,Growth Potential
81,1267.46,12,3,6,1,3.29,6,27.59,80.0,-52.41,Drainer
82,1982.55,14,5,0,1,6.2,3,43.26,28.0,15.26,Growth Potential
83,2058.11,14,1,3,0,0.79,9,44.87,34.0,10.87,Growth Potential
84,1674.11,10,1,1,0,1.98,8,35.83,14.0,21.83,Growth Potential
85,1161.86,14,3,0,1,3.12,10,25.77,20.0,5.77,Growth Potential
86,441.89,6,3,1,1,0.95,7,8.73,30.0,-21.27,Growth Potential
87,1110.84,9,3,0,0,0.94,9,23.62,12.0,11.62,Growth Potential
88,1816.3,17,5,0,0,5.7,11,40.35,20.0,20.35,Growth Potential
89,1682.63,15,2,0,1,0.51,4,37.08,16.0,21.08,Growth Potential
90,2166.62,13,1,1,1,4.02,5,46.97,22.0,24.97,Growth Potential
91,1045.47,8,4,3,1,1.88,1,22.01,54.0,-31.99,Drainer
92,934.09,10,1,1,1,4.58,7,20.07,22.0,-1.93,Growth Potential
93,1242.92,13,2,0,0,3.28,6,27.28,8.0,19.28,Growth Potential
94,1394.94,18,5,0,1,0.64,2,31.59,28.0,3.59,Growth Potential
95,1579.53,10,4,0,0,5.73,8,33.82,16.0,17.82,Growth Potential
96,2029.14,16,5,2,0,1.49,4,44.68,40.0,4.68,Growth Potential
97,1244.39,8,3,1,1,5.18,2,26.25,30.0,-3.75,Growth Potential
98,1796.43,13,3,2,0,0.51,3,39.08,32.0,7.08,Growth Potential
99,1217.74,8,7,0,0,3.22,6,25.68,28.0,-2.32,Growth Potential
100,1670.26,14,3,1,1,3.41,9,36.6,30.0,6.6,Growth Potential
101,1050.77,10,1,0,0,2.57,4,22.55,4.0,18.55,Growth Potential
102,963.06,12,5,0,0,8.49,5,21.11,20.0,1.11,Growth Potential
103,2355.84,15,1,2,0,4.53,8,51.42,24.0,27.42,Champion
104,2057.42,14,2,0,2,4.1,8,44.85,24.0,20.85,Growth Potential
105,1537.13,17,1,2,2,4.02,5,34.41,40.0,-5.59,Growth Potential
106,1009.59,11,1,0,2,3.88,3,21.89,20.0,1.89,Growth Potential
107,1212.03,13,1,2,2,5.6,7,26.63,40.0,-13.37,Growth Potential
108,858.27,12,8,0,1,5.61,6,18.88,40.0,-21.12,Growth Potential
109,1416.85,10,2,3,1,3.56,6,30.35,46.0,-15.65,Growth Potential
110,300.79,2,2,0,1,3.71,1,4.87,16.0,-11.13,Growth Potential
111,1135.32,16,1,0,1,6.58,9,25.63,12.0,13.63,Growth Potential
112,720.06,7,5,2,0,1.79,1,14.87,40.0,-25.13,Growth Potential
113,2541.97,15,2,0,0,3.2,1,55.39,8.0,47.39,Champion
114,1401.49,13,0,1,1,9.49,8,30.66,18.0,12.66,Growth Potential
115,1373.31,12,2,1,2,1.47,5,29.85,34.0,-4.15,Growth Potential
116,1430.45,12,6,1,0,3.06,3,31.07,34.0,-2.93,Growth Potential
117,1743.16,15,3,0,0,4.61,9,38.37,12.0,26.37,Growth Potential
118,1058.9,11,3,0,0,1.47,11,22.94,12.0,10.94,Growth Potential
